,City,Country,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed(mph),Date
0,hami,CN,42.8,93.45,45.91,46,0,2.73,1603489829
1,albany,US,42.6,-73.97,70.0,72,83,1.99,1603489831
2,mataura,NZ,-46.19,168.86,64.99,61,60,8.01,1603489833
3,faanui,PF,-16.48,-151.75,78.85,74,13,8.55,1603489479
4,augustow,PL,53.84,22.98,48.97,95,66,4.18,1603490000
5,busselton,AU,-33.65,115.33,53.01,47,0,11.01,1603489596
6,bambey,SN,14.7,-16.45,86.0,74,6,2.24,1603490000
7,bethel,US,41.37,-73.41,62.01,96,91,4.76,1603489830
8,mwanza,TZ,-2.52,32.9,74.95,69,25,7.58,1603490001
9,san policarpo,PH,12.18,125.51,77.5,88,93,6.85,1603489672
10,trairi,BR,-3.28,-39.27,79.39,79,0,10.13,1603489853
11,acapulco,MX,16.86,-99.89,87.8,70,75,8.05,1603489850
12,saint george,US,37.1,-113.58,72.0,16,1,5.12,1603489502
13,manzanillo,CU,20.34,-77.12,77.34,83,97,7.05,1603490002
14,ushuaia,AR,-54.8,-68.3,44.6,65,75,9.17,1603489352
15,provideniya,RU,64.38,-173.3,34.21,89,100,13.24,1603489643
16,choix,MX,26.71,-108.32,96.24,22,0,4.9,1603490002
17,ostrovnoy,RU,68.05,39.51,29.32,97,100,6.98,1603489641
18,yellowknife,CA,62.46,-114.35,28.0,58,20,13.87,1603489832
19,kodiak,US,57.79,-152.41,46.4,87,90,24.16,1603489834
20,mahebourg,MU,-20.41,57.7,73.4,69,20,9.17,1603489612
21,hofn,IS,64.25,-15.21,43.86,83,100,10.87,1603490003
22,mar del plata,AR,-38.0,-57.56,60.8,87,40,8.05,1603489480
23,corinto,GR,37.94,22.96,64.0,59,0,4.61,1603490003
24,rikitea,PF,-23.12,-134.97,74.68,77,60,7.9,1603489830
25,sur,OM,22.57,59.53,74.95,67,0,9.42,1603490003
26,forestville,US,38.85,-76.88,75.2,68,1,8.05,1603490004
27,naantali,FI,60.47,22.02,32.0,71,40,3.36,1603490004
28,jamestown,US,42.1,-79.24,75.99,47,40,14.99,1603489369
29,vostok,RU,46.49,135.88,23.45,99,100,11.03,1603490004
30,komsomolskiy,UZ,40.43,71.72,44.6,70,91,4.7,1603489831
31,puerto ayora,EC,-0.74,-90.35,78.8,69,20,14.99,1603489648
32,the pas,CA,53.83,-101.25,26.6,68,90,12.75,1603490005
33,kapaa,US,22.08,-159.32,78.01,88,75,11.41,1603489644
34,cherskiy,RU,68.75,161.3,16.03,94,35,3.31,1603489641
35,dikson,RU,73.51,80.55,23.63,93,100,14.85,1603489647
36,rock sound,BS,24.9,-76.2,80.37,70,1,15.82,1603490006
37,zemio,CF,5.03,25.14,70.12,94,100,0.65,1603490006
38,hutchinson,US,38.06,-97.93,48.2,42,1,19.46,1603490006
39,vaini,TO,-21.2,-175.2,77.0,38,40,11.41,1603489641
40,naze,JP,28.37,129.48,71.6,56,20,9.17,1603489864
41,bluff,NZ,-46.6,168.33,64.99,61,95,8.01,1603489829
42,arraial do cabo,BR,-22.97,-42.03,73.4,73,0,19.46,1603489504
43,xuanwu,CN,32.07,118.81,53.01,76,0,2.59,1603490007
44,qaanaaq,GL,77.48,-69.36,19.35,92,98,7.94,1603489828
45,sao filipe,CV,14.9,-24.5,80.42,77,20,13.22,1603489659
46,ayan,RU,56.45,138.17,34.48,89,100,15.99,1603490018
47,amapa,BR,1.0,-52.0,89.28,34,72,6.46,1603490018
48,tilichiki,RU,60.47,166.1,31.33,95,0,4.92,1603490018
49,barrow,US,71.29,-156.79,28.4,92,90,9.17,1603489640
50,lompoc,US,34.64,-120.46,73.4,56,75,10.29,1603489761
51,saldanha,ZA,-33.01,17.94,59.0,82,9,4.7,1603489654
52,cape town,ZA,-33.93,18.42,61.0,87,0,8.05,1603489393
53,norman wells,CA,65.28,-126.83,30.2,86,75,8.05,1603489652
54,sitka,US,57.05,-135.33,42.8,26,75,6.8,1603489670
55,nicoya,CR,10.15,-85.45,82.4,83,75,12.75,1603490020
56,punta arenas,CL,-53.15,-70.92,46.4,65,75,6.93,1603489542
57,coahuayana,MX,18.73,-103.68,86.0,66,40,5.37,1603489752
58,port keats,AU,-14.25,129.55,83.64,73,31,7.65,1603490020
59,bambous virieux,MU,-20.34,57.76,73.4,69,20,9.17,1603489659
60,skibbereen,IE,51.55,-9.27,51.8,81,75,21.92,1603490021
61,puerto escondido,MX,15.85,-97.07,87.8,66,40,10.29,1603489988
62,dunedin,NZ,-45.87,170.5,62.26,50,58,3.42,1603489494
63,lidkoping,SE,58.51,13.16,44.6,100,92,4.7,1603490021
64,muisne,EC,0.6,-80.03,75.54,84,99,11.92,1603490022
65,geraldton,AU,-28.77,114.6,51.8,76,0,6.93,1603489648
66,igrim,RU,63.19,64.42,21.4,96,25,4.18,1603489832
67,carnarvon,AU,-24.87,113.63,68.0,77,0,12.75,1603489359
68,lagos,NG,6.58,3.75,77.52,90,96,4.61,1603490022
69,dukat,RU,62.55,155.55,26.11,92,46,5.28,1603490022
70,east london,ZA,-33.02,27.91,72.82,75,55,4.63,1603489366
71,nikolskoye,RU,59.7,30.79,41.0,75,75,13.42,1603489644
72,khatanga,RU,71.97,102.5,10.85,96,100,9.86,1603489437
73,klaksvik,FO,62.23,-6.59,42.8,93,3,4.7,1603489663
74,husavik,IS,66.04,-17.34,42.8,75,75,6.93,1603489647
75,ranong,TH,9.97,98.63,76.39,83,93,3.38,1603490024
76,port hardy,CA,50.7,-127.42,44.6,87,75,6.93,1603489657
77,hilo,US,19.73,-155.09,87.8,55,20,11.41,1603489563
78,avera,US,33.19,-82.53,80.6,61,75,6.93,1603489831
79,scottsbluff,US,41.87,-103.67,33.01,67,90,8.05,1603490024
80,hobyo,SO,5.35,48.53,82.22,75,100,22.21,1603490024
81,mendoza,AR,-32.89,-68.83,84.2,35,0,4.7,1603490024
82,bereznik,RU,62.86,42.71,34.61,98,100,3.62,1603490025
83,barinitas,VE,8.76,-70.41,75.74,86,98,1.36,1603490025
84,chokurdakh,RU,70.63,147.92,8.46,91,94,7.31,1603489651
85,san andres,CO,12.58,-81.7,87.8,66,20,4.7,1603490025
86,nanortalik,GL,60.14,-45.24,34.21,87,98,5.77,1603489835
87,port elizabeth,ZA,-33.92,25.57,68.0,88,45,16.11,1603489834
88,bredasdorp,ZA,-34.53,20.04,64.4,93,29,1.36,1603489644
89,tasiilaq,GL,65.61,-37.64,33.8,59,100,3.36,1603489643
90,hobart,AU,-42.88,147.33,55.0,71,75,6.93,1603489643
91,kaeo,NZ,-35.1,173.78,69.01,81,81,1.99,1603490036
92,longyearbyen,SJ,78.22,15.64,19.4,79,75,1.12,1603489501
93,atuona,PF,-9.8,-139.03,78.21,77,25,19.26,1603489645
94,mnogovershinnyy,RU,53.94,139.92,41.18,100,100,22.95,1603490037
95,merauke,ID,-8.47,140.33,80.22,79,38,11.21,1603489378
96,ortona,IT,42.35,14.4,60.01,87,100,3.36,1603490037
97,santa barbara,US,34.73,-120.03,73.0,53,1,4.7,1603490037
98,mount gambier,AU,-37.83,140.77,51.8,76,90,14.99,1603489436
99,snezhnogorsk,RU,69.19,33.25,30.2,100,75,15.82,1603490037
100,alice springs,AU,-23.7,133.88,62.6,63,0,5.82,1603489391
101,chicama,PE,-7.84,-79.15,68.0,66,78,7.14,1603489653
102,upernavik,GL,72.79,-56.15,22.28,92,99,8.03,1603489646
103,sirohi,IN,24.88,72.87,70.36,37,0,2.01,1603490038
104,kalka,IN,30.83,76.93,64.31,36,0,5.06,1603490038
105,paamiut,GL,61.99,-49.67,32.5,88,50,24.74,1603489658
106,uyuni,BO,-20.46,-66.83,63.14,26,0,18.1,1603490039
107,tuktoyaktuk,CA,69.45,-133.04,24.8,92,90,9.17,1603489403
108,castries,LC,14.0,-61.01,86.0,70,20,11.41,1603490039
109,cabo san lucas,MX,22.89,-109.91,91.4,62,5,11.41,1603489526
110,buluang,PH,13.31,123.34,77.61,89,100,4.56,1603490039
111,salalah,OM,17.02,54.09,75.2,44,0,2.24,1603489665
112,souillac,MU,-20.52,57.52,73.4,69,20,9.17,1603489429
113,okhotsk,RU,59.38,143.3,37.87,92,100,12.33,1603489635
114,nemuro,JP,43.32,145.57,53.53,71,0,19.39,1603489671
115,lagoa,PT,39.05,-27.98,66.7,81,25,24.85,1603489651
116,berdigestyakh,RU,62.1,126.7,22.68,97,100,5.95,1603490040
117,santos dumont,BR,-21.46,-43.55,62.37,85,64,3.47,1603490041
118,kimbe,PG,-5.55,150.14,82.58,74,65,1.34,1603490041
119,flin flon,CA,54.77,-101.86,26.6,49,75,9.17,1603490041
120,tezu,IN,27.92,96.17,69.4,86,100,3.49,1603490041
121,port alfred,ZA,-33.59,26.89,68.45,80,64,18.37,1603489641
122,hermanus,ZA,-34.42,19.23,64.99,90,32,1.01,1603489442
123,karuzi,BI,-3.12,30.13,62.8,73,1,1.79,1603490042
124,ivanava,BY,52.15,25.54,52.54,86,100,4.97,1603490042
